Observation Timestamp
2025-01-01 11:09:05.174
2025-01-02 05:01:01.252
2025-01-03 07:31:37.211
2025-01-04 07:01:07.231
2025-01-08 12:11:27.822
2025-01-09 11:36:11.933
2025-07-07 13:57:33.059
2025-07-08 06:45:04.874
2025-07-09 09:45:14.825
2025-07-10 06:14:08.399
2025-07-11 07:55:49.332
2025-07-12 10:30:33.357
2025-07-14 06:11:41.145
2025-07-16 07:44:42.213
2025-07-17 11:49:36.968
2025-07-23 10:53:09.727
2025-07-24 07:55:03.449
2025-07-25 11:17:39.575
2025-07-26 13:19:02.027
2025-07-27 05:56:14.311
2025-07-28 13:17:35.694
2025-07-30 12:18:23.542
2025-07-31 08:59:39.089
2025-08-01 07:16:33.531
2025-08-02 14:43:19.555
2025-08-05 08:56:22.205
2025-08-06 06:39:02.115
2025-08-07 06:40:42.536
2025-08-08 13:43:43.617
2025-08-10 11:26:07.996
2025-08-11 13:21:31.930
2025-08-12 12:37:41.935
2025-08-13 10:47:31.268
2025-08-14 14:56:49.679
2025-08-15 09:16:59.879
2025-08-17 10:55:58.097
2025-08-19 13:35:37.759
2025-08-20 11:33:53.632
2025-08-21 13:54:38.509
2025-08-22 11:09:47.386
2025-08-23 12:23:36.476
2025-08-24 05:59:41.741
2025-08-26 07:44:35.566
2025-08-27 08:20:01.983
2025-08-28 06:16:20.013
2025-08-29 07:45:36.506
2025-08-30 06:27:13.731
2025-08-31 08:11:03.629
2025-09-02 11:42:13.308
2025-09-03 09:00:57.372
2025-09-04 09:03:39.013
2025-09-05 07:27:12.157
2025-09-06 08:00:54.312
2025-09-07 14:41:49.941
2025-09-08 11:48:04.313
2025-09-09 11:23:46.937
2025-09-10 07:00:02.351
2025-09-11 12:33:52.994
2025-09-14 06:51:36.018
2025-09-15 09:00:17.016
2025-09-16 15:05:22.604
2025-09-20 11:31:53.777
2025-09-21 10:41:07.969
2025-09-23 11:55:52.549
2025-09-24 13:29:53.819
2025-09-26 12:47:57.470
2025-09-27 07:18:52.862
2025-09-29 05:18:55.177
2025-09-30 08:08:02.724
2025-10-02 07:37:40.105
2025-10-03 07:02:45.040
2025-10-04 14:21:03.144
2025-10-05 13:40:16.905
2025-10-06 08:02:25.918
2025-10-07 11:26:03.745
2025-10-08 08:49:21.765
2025-10-09 13:59:54.445
2025-10-10 09:25:41.795
2025-10-11 07:28:31.903
2025-10-12 07:16:48.605
2025-10-15 10:23:25.286
2025-10-16 07:23:31.692
2025-10-17 10:35:55.899
2025-10-18 13:43:11.105
2025-10-19 08:43:27.467
2025-10-20 06:54:45.071
2025-10-21 14:41:02.280
2025-10-22 09:47:36.221
2025-10-23 05:35:49.324
2025-10-24 05:08:57.066
2025-10-25 05:45:53.514
2025-10-26 10:56:00.436
2025-10-29 12:33:12.174
2025-10-31 08:50:17.062
2025-11-01 05:14:38.950
2025-11-02 08:25:04.022
2025-11-03 14:33:21.014
2025-11-08 09:51:21.050
2025-11-09 14:16:13.866
2025-11-10 13:09:46.475
2025-11-13 04:39:29.414
2025-11-14 11:44:50.540
2025-11-15 11:21:15.874
2025-11-21 09:53:50.778
2025-11-22 07:11:44.296
2025-11-23 10:56:13.224
2025-11-28 05:38:53.202
2025-11-30 08:53:04.871
2025-12-03 09:05:00.178
2025-12-05 14:05:31.081
2025-12-06 13:18:59.880
2025-12-08 07:12:05.388
2025-12-09 09:34:43.190
2025-12-10 06:21:53.307
2025-12-11 13:42:37.212
2025-12-14 13:18:29.450
2025-12-15 07:35:39.378
2025-12-16 11:00:23.011
2025-12-18 10:43:17.188
2025-12-20 06:10:33.015
2025-12-22 12:17:20.553
2025-12-24 10:04:29.538
2025-12-25 12:28:34.100
2025-12-26 10:00:08.448
2025-12-27 04:42:48.949
2025-12-28 07:57:31.064
2025-12-29 04:55:16.099
2025-12-30 14:01:36.346
2025-12-31 13:31:56.981
