HD_ID,BJD_TDB,LOCAL_TIME,RV,RV_ERR
166,2460681.83211140,2025-01-06 00:57:23.778373,6.408,0.500
166,2460684.57742893,2025-01-08 18:51:00.720820,1.784,0.500
166,2460864.83972452,2025-07-08 01:07:47.973122,8.355,0.500
166,2460867.90445329,2025-07-11 02:40:37.290619,19.647,0.500
166,2460870.93637833,2025-07-14 03:26:12.722206,-3.021,0.500
166,2460873.74243139,2025-07-16 22:46:34.678528,-3.020,0.500
166,2460876.70360711,2025-07-19 21:50:18.255324,20.372,0.500
166,2460882.88601353,2025-07-26 02:12:13.103595,9.900,0.500
166,2460888.70305994,2025-07-31 21:48:05.037904,-6.056,0.500
166,2460891.77520317,2025-08-03 23:31:37.338257,6.999,0.500
166,2460894.99174089,2025-08-07 04:43:04.957165,-5.978,0.500
166,2460897.86789774,2025-08-10 01:44:26.505021,-6.008,0.500
166,2460900.83813340,2025-08-13 01:01:16.480126,3.121,0.500
166,2460903.88512905,2025-08-16 02:08:38.741747,-24.682,0.500
166,2460912.94673940,2025-08-25 03:36:32.559543,-22.252,0.500
166,2460915.92206254,2025-08-28 03:00:45.974928,-7.254,0.500
166,2460918.70994538,2025-08-30 21:55:06.289263,-13.066,0.500
166,2460924.62819067,2025-09-05 19:56:58.332817,4.054,0.500
166,2460927.73950584,2025-09-08 22:37:04.713212,-11.714,0.500
166,2460930.71870851,2025-09-11 22:06:58.109266,-18.219,0.500
166,2460933.69376940,2025-09-14 21:30:54.720311,18.907,0.500
166,2460939.99447809,2025-09-21 04:43:41.229990,-2.913,0.500
166,2460942.96399399,2025-09-24 03:59:42.207517,0.871,0.500
166,2460948.72451627,2025-09-29 22:14:44.518749,-18.380,0.500
166,2460957.85866085,2025-10-09 01:27:52.772634,-7.023,0.500
166,2460963.74549661,2025-10-14 22:45:00.047833,1.431,0.500
166,2460972.95498326,2025-10-24 03:46:56.205872,-14.848,0.500
166,2460975.76307804,2025-10-26 23:10:42.807964,4.847,0.500
166,2460978.68033449,2025-10-29 21:11:42.330312,-7.748,0.500
166,2460981.67092770,2025-11-01 20:58:19.459003,-3.763,0.500
166,2460984.80039225,2025-11-05 00:04:56.689409,-7.762,0.500
166,2460990.67303904,2025-11-10 21:01:58.018363,23.895,0.500
166,2460996.80480285,2025-11-17 00:12:12.254294,-0.174,0.500
166,2460999.93438241,2025-11-20 03:19:04.688536,-13.645,0.500
166,2461002.72595481,2025-11-22 22:19:12.278954,10.611,0.500
166,2461005.65032499,2025-11-25 20:30:35.140934,-15.749,0.500
166,2461008.97411973,2025-11-29 04:17:11.579247,2.694,0.500
166,2461011.77052078,2025-12-01 23:24:18.596110,-25.280,0.500
166,2461020.59624630,2025-12-10 19:14:21.714834,-17.134,0.500
166,2461026.57886193,2025-12-16 18:50:03.342098,2.540,0.500
166,2461029.60555780,2025-12-19 19:28:52.586030,9.526,0.500
166,2461032.82205924,2025-12-23 00:41:02.847919,2.211,0.500
166,2461035.89154086,2025-12-26 02:21:29.753087,-1.492,0.500
142860,2460714.69881731,2025-02-07 21:45:29.873946,3.890,0.500
142860,2460717.67913601,2025-02-10 21:16:48.257748,-0.448,0.500
142860,2460723.89676659,2025-02-17 02:29:27.429212,-15.076,0.500
142860,2460726.87370218,2025-02-20 01:55:53.691121,14.743,0.500
142860,2460729.96531470,2025-02-23 04:07:27.395641,9.700,0.500
142860,2460732.63157198,2025-02-25 20:06:33.607948,10.205,0.500
142860,2460741.77644180,2025-03-06 23:34:09.007938,-11.731,0.500
142860,2460744.61476901,2025-03-09 19:41:02.235325,18.096,0.500
